"site","scientificName","is_fish","iucn_category","bold_sequences"
"Aldabra Atoll","Abudefduf notatus",TRUE,,1
"Aldabra Atoll","Abudefduf saxatilis",TRUE,,1
"Aldabra Atoll","Abudefduf septemfasciatus",TRUE,,5
"Aldabra Atoll","Abudefduf sexfasciatus",TRUE,,4
"Aldabra Atoll","Abudefduf sordidus",TRUE,,3
"Aldabra Atoll","Abudefduf sparoides",TRUE,,3
"Aldabra Atoll","Abudefduf vaigiensis",TRUE,,14
"Aldabra Atoll","Abylopsis eschscholtzii",FALSE,,
"Aldabra Atoll","Acanthastrea brevis",FALSE,"VU",
"Aldabra Atoll","Acanthastrea echinata",FALSE,,
"Aldabra Atoll","Acanthastrea hemprichii",FALSE,"VU",
"Aldabra Atoll","Acanthastrea pachysepta",FALSE,,
"Aldabra Atoll","Acanthastrea rotundoflora",FALSE,,
"Aldabra Atoll","Acanthastrea subechinata",FALSE,,
"Aldabra Atoll","Acanthogorgia aldabra",FALSE,,
"Aldabra Atoll","Acanthopagrus berda",TRUE,,3
"Aldabra Atoll","Acanthopagrus bifasciatus",TRUE,,1
"Aldabra Atoll","Acanthopleura gemmata",FALSE,,
"Aldabra Atoll","Acanthurus gahhm",TRUE,,1
"Aldabra Atoll","Acanthurus leucocheilus",TRUE,,1
"Aldabra Atoll","Acanthurus leucosternon",TRUE,,11
"Aldabra Atoll","Acanthurus nigrofuscus",TRUE,,2
"Aldabra Atoll","Acanthurus tennentii",TRUE,,1
"Aldabra Atoll","Acanthurus thompsoni",TRUE,,1
"Aldabra Atoll","Acanthurus triostegus",TRUE,,1
"Aldabra Atoll","Accalathura hastata",FALSE,,
"Aldabra Atoll","Accalathura wardae",FALSE,,
"Aldabra Atoll","Achelia nana",FALSE,,
"Aldabra Atoll","Acrocalanus gibber",FALSE,,
"Aldabra Atoll","Acrocalanus monachus",FALSE,,
"Aldabra Atoll","Acropora abrotanoides",FALSE,,
"Aldabra Atoll","Acropora aculeus",FALSE,"VU",
"Aldabra Atoll","Acropora acuminata",FALSE,"VU",
"Aldabra Atoll","Acropora anthocercis",FALSE,"VU",
"Aldabra Atoll","Acropora aspera",FALSE,"VU",
"Aldabra Atoll","Acropora austera",FALSE,,
"Aldabra Atoll","Acropora branchi",FALSE,,
"Aldabra Atoll","Acropora bushyensis",FALSE,,
"Aldabra Atoll","Acropora cerealis",FALSE,,
"Aldabra Atoll","Acropora clathrata",FALSE,,
"Aldabra Atoll","Acropora cytherea",FALSE,,
"Aldabra Atoll","Acropora digitifera",FALSE,,
"Aldabra Atoll","Acropora divaricata",FALSE,,
"Aldabra Atoll","Acropora donei",FALSE,"VU",
"Aldabra Atoll","Acropora downingi",FALSE,,
"Aldabra Atoll","Acropora elseyi",FALSE,,
"Aldabra Atoll","Acropora florida",FALSE,,
"Aldabra Atoll","Acropora gemmifera",FALSE,,
"Aldabra Atoll","Acropora grandis",FALSE,,
"Aldabra Atoll","Acropora granulosa",FALSE,,
"Aldabra Atoll","Acropora hemprichii",FALSE,"VU",
"Aldabra Atoll","Acropora humilis",FALSE,,
"Aldabra Atoll","Acropora hyacinthus",FALSE,,
