"site","aphiaID"
"Aldabra Atoll",55
"Aldabra Atoll",985
"Aldabra Atoll",1773
"Aldabra Atoll",101785
"Aldabra Atoll",104431
"Aldabra Atoll",104469
"Aldabra Atoll",104473
"Aldabra Atoll",104476
"Aldabra Atoll",104478
"Aldabra Atoll",104492
"Aldabra Atoll",104495
"Aldabra Atoll",104546
"Aldabra Atoll",104548
"Aldabra Atoll",104645
"Aldabra Atoll",104743
"Aldabra Atoll",104821
"Aldabra Atoll",104902
"Aldabra Atoll",105795
"Aldabra Atoll",105805
"Aldabra Atoll",105899
"Aldabra Atoll",106769
"Aldabra Atoll",107478
"Aldabra Atoll",116116
"Aldabra Atoll",116162
"Aldabra Atoll",116382
"Aldabra Atoll",117267
"Aldabra Atoll",117568
"Aldabra Atoll",118362
"Aldabra Atoll",118399
"Aldabra Atoll",123456
"Aldabra Atoll",123592
"Aldabra Atoll",125064
"Aldabra Atoll",125122
"Aldabra Atoll",125185
"Aldabra Atoll",125519
"Aldabra Atoll",125537
"Aldabra Atoll",125553
"Aldabra Atoll",125557
"Aldabra Atoll",125562
"Aldabra Atoll",125572
"Aldabra Atoll",125593
"Aldabra Atoll",125595
"Aldabra Atoll",125636
"Aldabra Atoll",125908
"Aldabra Atoll",126002
"Aldabra Atoll",126010
"Aldabra Atoll",126024
"Aldabra Atoll",126035
"Aldabra Atoll",126044
"Aldabra Atoll",126045
"Aldabra Atoll",126068
"Aldabra Atoll",126071
"Aldabra Atoll",126084
"Aldabra Atoll",126109
"Aldabra Atoll",126172
"Aldabra Atoll",126173
"Aldabra Atoll",126371
"Aldabra Atoll",126377
"Aldabra Atoll",126388
"Aldabra Atoll",126424
"Aldabra Atoll",126634
"Aldabra Atoll",126848
"Aldabra Atoll",127004
"Aldabra Atoll",127014
"Aldabra Atoll",127020
"Aldabra Atoll",127044
"Aldabra Atoll",127077
"Aldabra Atoll",127250
"Aldabra Atoll",128894
"Aldabra Atoll",129038
"Aldabra Atoll",129521
"Aldabra Atoll",135404
"Aldabra Atoll",135419
"Aldabra Atoll",135424
"Aldabra Atoll",135433
"Aldabra Atoll",135439
"Aldabra Atoll",135440
"Aldabra Atoll",135470
"Aldabra Atoll",135484
"Aldabra Atoll",135566
"Aldabra Atoll",137206
"Aldabra Atoll",137784
"Aldabra Atoll",138104
"Aldabra Atoll",140819
"Aldabra Atoll",144456
"Aldabra Atoll",144462
"Aldabra Atoll",144467
"Aldabra Atoll",144468
"Aldabra Atoll",144476
"Aldabra Atoll",144482
"Aldabra Atoll",144483
"Aldabra Atoll",144531
"Aldabra Atoll",144706
"Aldabra Atoll",144712
"Aldabra Atoll",144731
"Aldabra Atoll",144799
"Aldabra Atoll",144827
"Aldabra Atoll",145022
"Aldabra Atoll",145123
"Aldabra Atoll",145124
"Aldabra Atoll",145490
"Aldabra Atoll",145567
"Aldabra Atoll",145569
"Aldabra Atoll",145590
"Aldabra Atoll",145631
"Aldabra Atoll",145635
"Aldabra Atoll",145636
"Aldabra Atoll",145685
"Aldabra Atoll",145688
"Aldabra Atoll",145691
"Aldabra Atoll",145739
"Aldabra Atoll",145745
"Aldabra Atoll",145756
"Aldabra Atoll",145804
"Aldabra Atoll",145871
"Aldabra Atoll",145990
"Aldabra Atoll",146242
"Aldabra Atoll",146607
"Aldabra Atoll",146613
"Aldabra Atoll",146628
"Aldabra Atoll",146630
"Aldabra Atoll",146701
"Aldabra Atoll",146960
"Aldabra Atoll",149789
"Aldabra Atoll",151456
"Aldabra Atoll",151475
"Aldabra Atoll",151498
"Aldabra Atoll",151851
"Aldabra Atoll",156078
"Aldabra Atoll",156201
"Aldabra Atoll",157086
"Aldabra Atoll",158577
"Aldabra Atoll",158790
"Aldabra Atoll",159288
"Aldabra Atoll",159289
"Aldabra Atoll",159299
"Aldabra Atoll",159391
"Aldabra Atoll",159393
"Aldabra Atoll",159646
"Aldabra Atoll",159791
"Aldabra Atoll",160566
"Aldabra Atoll",161438
"Aldabra Atoll",162673
"Aldabra Atoll",164899
"Aldabra Atoll",165793
"Aldabra Atoll",165834
"Aldabra Atoll",165964
"Aldabra Atoll",168177
"Aldabra Atoll",171015
"Aldabra Atoll",178477
"Aldabra Atoll",194033
"Aldabra Atoll",196554
"Aldabra Atoll",196656
"Aldabra Atoll",203991
"Aldabra Atoll",204038
"Aldabra Atoll",204256
"Aldabra Atoll",204335
"Aldabra Atoll",204407
"Aldabra Atoll",204502
"Aldabra Atoll",204522
"Aldabra Atoll",204531
"Aldabra Atoll",204591
"Aldabra Atoll",204623
"Aldabra Atoll",204745
"Aldabra Atoll",204813
"Aldabra Atoll",205210
"Aldabra Atoll",205230
"Aldabra Atoll",205305
"Aldabra Atoll",205310
"Aldabra Atoll",205393
"Aldabra Atoll",205469
"Aldabra Atoll",205476
"Aldabra Atoll",205487
"Aldabra Atoll",205637
"Aldabra Atoll",205785
"Aldabra Atoll",205799
"Aldabra Atoll",205902
"Aldabra Atoll",205965
"Aldabra Atoll",206069
"Aldabra Atoll",206218
"Aldabra Atoll",206221
"Aldabra Atoll",206441
"Aldabra Atoll",206485
"Aldabra Atoll",206614
"Aldabra Atoll",206621
"Aldabra Atoll",206948
"Aldabra Atoll",206950
"Aldabra Atoll",206952
"Aldabra Atoll",206953
"Aldabra Atoll",206954
"Aldabra Atoll",206956
"Aldabra Atoll",206959
"Aldabra Atoll",206964
"Aldabra Atoll",206969
"Aldabra Atoll",206973
